predict,actual,fold
3.43E-03,0.00E+00,0
1.37E-02,0.00E+00,0
9.41E-03,0.00E+00,0
2.91E-03,0.00E+00,0
8.82E-03,0.00E+00,0
3.23E-03,0.00E+00,0
2.91E-03,0.00E+00,0
6.52E-02,0.00E+00,0
2.89E-03,0.00E+00,0
5.22E-03,0.00E+00,0
2.95E-03,0.00E+00,0
3.17E-03,0.00E+00,0
3.56E-03,0.00E+00,0
2.89E-03,0.00E+00,0
2.97E-03,0.00E+00,0
2.99E-03,0.00E+00,0
5.40E-03,0.00E+00,0
5.36E-03,0.00E+00,0
3.26E-03,0.00E+00,0
3.88E-03,0.00E+00,0
2.99E-03,0.00E+00,0
3.39E-03,0.00E+00,0
2.84E-03,0.00E+00,0
2.99E-03,0.00E+00,0
1.68E-02,1.00E+00,0
1.33E-02,0.00E+00,0
2.37E-02,1.00E+00,0
1.72E-02,0.00E+00,0
8.60E-03,0.00E+00,0
1.55E-02,0.00E+00,0
5.18E-03,0.00E+00,0
4.23E-03,0.00E+00,0
1.11E-02,0.00E+00,0
1.34E-02,0.00E+00,0
6.91E-03,0.00E+00,0
5.38E-03,0.00E+00,0
1.54E-02,1.00E+00,0
5.89E-03,0.00E+00,0
5.94E-03,0.00E+00,0
2.80E-02,0.00E+00,0
1.27E-02,0.00E+00,0
3.21E-03,0.00E+00,0
1.45E-02,0.00E+00,0
3.32E-03,0.00E+00,0
1.30E-02,0.00E+00,0
3.33E-03,0.00E+00,0
5.35E-03,0.00E+00,0
3.83E-03,0.00E+00,0
8.85E-03,0.00E+00,0
7.88E-03,0.00E+00,0
3.11E-03,0.00E+00,0
3.10E-03,0.00E+00,0
1.25E-02,0.00E+00,0
3.11E-03,0.00E+00,0
7.44E-03,0.00E+00,0
9.37E-03,0.00E+00,0
1.01E-02,0.00E+00,0
9.70E-03,0.00E+00,0
1.64E-02,0.00E+00,0
3.38E-03,0.00E+00,0
3.05E-03,0.00E+00,0
9.00E-03,0.00E+00,0
1.26E-02,0.00E+00,0
1.23E-02,0.00E+00,0
3.04E-03,0.00E+00,0
2.09E-02,1.00E+00,0
1.34E-01,1.00E+00,0
8.71E-03,1.00E+00,0
5.32E-03,0.00E+00,0
4.16E-01,1.00E+00,0
4.93E-01,1.00E+00,0
1.04E-01,1.00E+00,0
2.64E-01,1.00E+00,0
2.98E-02,1.00E+00,0
1.13E-02,0.00E+00,0
1.83E-01,0.00E+00,0
9.54E-03,0.00E+00,0
1.70E-02,0.00E+00,0
1.16E-02,0.00E+00,0
6.42E-03,0.00E+00,0
1.72E-02,0.00E+00,0
1.49E-02,0.00E+00,0
1.42E-02,0.00E+00,0
1.45E-02,0.00E+00,0
8.77E-03,0.00E+00,0
1.57E-02,0.00E+00,0
4.20E-03,0.00E+00,0
1.32E-02,0.00E+00,0
1.20E-02,0.00E+00,0
1.55E-02,0.00E+00,0
1.20E-02,0.00E+00,0
1.61E-02,0.00E+00,0
1.10E-02,0.00E+00,0
1.74E-02,0.00E+00,0
7.02E-03,0.00E+00,0
1.40E-02,0.00E+00,0
1.76E-02,0.00E+00,0
3.53E-03,0.00E+00,0
7.91E-02,0.00E+00,0
1.09E-02,0.00E+00,0
7.94E-03,0.00E+00,0
1.58E-02,0.00E+00,0
4.86E-03,0.00E+00,0
1.68E-02,0.00E+00,0
4.53E-03,0.00E+00,0
9.28E-03,0.00E+00,0
7.55E-03,0.00E+00,0
7.24E-01,1.00E+00,0
6.33E-03,0.00E+00,0
4.85E-03,0.00E+00,0
5.00E-03,0.00E+00,0
2.03E-01,0.00E+00,0
9.43E-03,0.00E+00,0
1.42E-02,0.00E+00,0
1.30E-02,0.00E+00,0
3.36E-03,0.00E+00,0
6.04E-03,0.00E+00,0
1.50E-02,0.00E+00,0
4.45E-03,0.00E+00,0
9.98E-01,1.00E+00,0
9.72E-03,0.00E+00,0
1.00E-02,0.00E+00,0
1.59E-02,0.00E+00,0
1.40E-02,0.00E+00,0
1.00E-01,0.00E+00,0
5.96E-02,0.00E+00,0
4.40E-03,0.00E+00,0
